The skeleton graph has: Nodes 1045 and 1044 Edges. 
N 495 (233.75,340.0) 13.759087905817013
N 496 (232.125,341.0) 15.383127932901033
N 497 (228.5,344.0) 19.00657780874821
N 498 (230.375,345.0) 17.132297715134417
N 499 (233.75,347.0) 13.759087905817013
N 500 (232.125,346.0) 15.383127932901033
N 501 (214.0,366.0) 25.5049014897137
N 502 (215.0,367.0) 24.50510150968569
N 503 (233.75,299.0) 13.759087905817013
N 504 (235.25,300.0) 12.260199835239229
N 505 (226.5,295.0) 21.005951537600005
N 506 (228.5,296.0) 19.00657780874821
N 507 (232.125,298.0) 15.383127932901033
N 508 (230.375,297.0) 17.132297715134417
N 509 (281.0,231.484375) 32.01952910554159
N 510 (280.0,231.5) 32.00390601161052
N 511 (125.0,386.0) 5.522680508593631
N 512 (126.0,385.0) 6.519202405202649
N 513 (131.0,380.0) 11.510864433221338
N 514 (132.0,379.0) 12.509996003196804
N 515 (135.0,376.0) 15.508062419270823
N 516 (146.0,364.875) 26.62969442182918
N 517 (145.0,365.9583333333333) 25.546560162008333
N 518 (150.0,360.125) 31.37898381082472
N 519 (151.0,358.8333333333333) 32.67049297318777
N 520 (149.0,361.375) 30.129149091867827
N 521 (148.0,362.5833333333333) 28.920989110179327
N 522 (163.0,340.0833333333333) 51.41909772750891
N 523 (162.0,341.875) 49.62751882776329
N 524 (160.0,345.3333333333333) 46.1693741685017
N 525 (159.0,347.0) 44.50280890011326
N 526 (155.0,353.25) 38.253267834264825
N 527 (154.0,354.7083333333333) 36.795064018304295
N 528 (185.0,336.296875) 55.20538931812387
N 529 (182.0,333.671875) 57.83028653755422
N 530 (176.0,328.0) 63.50196847342608
N 531 (179.0,330.90625) 60.5958128839155
N 532 (174.890625,315.0) 64.61130967478236
N 533 (174.7890625,314.0) 64.71286913844035
N 534 (174.5625,312.0) 64.93942489928595
N 535 (174.6796875,313.0) 64.82224087917399
N 536 (245.0,309.0) 2.5495097567963922
N 537 (243.0,307.0) 4.527692569068709
N 538 (244.0,308.0) 3.5355339059327378
N 539 (293.0,230.078125) 33.42561485620908
N 540 (292.0,230.28125) 33.22251272198567
N 541 (239.0,303.0) 8.514693182963201
N 542 (240.0,304.0) 7.516648189186454
N 543 (91.0,267.5681818181818) 44.07101824056633
N 544 (65.0,158.0) 1.5811388300841898
N 545 (66.0,157.0) 2.5495097567963922
N 546 (81.0,142.0) 17.507141400011598
N 547 (80.0,143.0) 16.507574019219177
N 548 (206.0,158.0) 1.5811388300841898
N 549 (205.0,157.0) 2.5495097567963922
N 550 (201.0,248.390625) 48.89318166054061
N 551 (202.0,247.671875) 48.17446980523631
N 552 (176.0,135.0) 23.50531854708632
N 553 (177.0,134.0) 22.5055548698538
N 554 (178.0,133.0) 21.50581316760657
N 555 (204.0,156.0) 3.5355339059327378
N 556 (203.0,155.0) 4.527692569068709
N 557 (191.0,149.25) 10.262187875886896
N 558 (192.0,149.75) 9.762812094883317
N 559 (194.0,150.5625) 8.951475087939418
N 560 (193.0,150.1875) 9.32591315904239
N 561 (190.0,148.6875) 10.824054519910735
N 562 (189.0,148.0625) 11.448423745214884
N 563 (195.0,150.875) 8.639480597813737
N 564 (196.0,151.125) 8.389912097274918
N 565 (199.5,151.5) 8.0
N 566 (200.0,152.0) 7.516648189186454
N 567 (180.0,140.0) 19.50640920313116
N 568 (184.0,144.0) 15.508062419270823
N 569 (185.0,144.9375) 14.571081162700317
N 570 (187.0,146.625) 12.88470508005519
N 571 (186.0,145.8125) 13.696629375506953
N 572 (122.0,101.0) 29.50423698386386
N 573 (123.0,100.0) 28.50438562747845
N 574 (135.0,88.0) 16.507574019219177
N 575 (131.0,92.0) 20.506096654409877
N 576 (132.0,91.0) 19.50640920313116
N 577 (130.0,93.0) 21.50581316760657
N 578 (129.0,94.0) 22.5055548698538
N 579 (224.375,294.0) 23.13040477380368
N 580 (222.125,293.0) 25.37992563030869
N 581 (165.875,193.0) 9.637978263100617
N 582 (167.0,192.0) 8.514693182963201
N 583 (255.0,231.5) 32.00390601161052
N 584 (256.0,231.5) 32.00390601161052
N 585 (259.0,231.5) 32.00390601161052
N 586 (178.0,269.0) 69.50179853787958
N 587 (179.0,268.0) 68.50182479321262
N 588 (76.0,260.0) 36.50342449688796
N 589 (78.0,262.0) 38.50324661635691
N 590 (79.0,263.0) 39.50316443020736
N 591 (80.0,264.0) 40.50308630215727
